userID,friendID,value
0,257,1
0,400,1
0,482,1
0,709,1
0,772,1
0,838,1
0,1102,1
0,1103,1
0,1121,1
0,1203,1
0,1431,1
0,1466,1
0,1689,1
1,74,1
1,238,1
1,429,1
1,777,1
1,1568,1
1,1625,1
1,1778,1
2,94,1
2,119,1
2,199,1
2,247,1
2,461,1
2,487,1
2,498,1
2,790,1
2,1009,1
2,1874,1
3,214,1
3,676,1
3,772,1
3,1154,1
3,1190,1
3,1339,1
3,1609,1
4,143,1
4,772,1
4,1154,1
4,1532,1
4,1587,1
5,43,1
5,218,1
5,363,1
5,509,1
5,756,1
5,809,1
5,917,1
5,1037,1
5,1080,1
5,1188,1
5,1313,1
5,1325,1
5,1488,1
5,1504,1
5,1565,1
5,1820,1
5,1836,1
5,1858,1
6,317,1
6,348,1
6,392,1
6,698,1
6,772,1
6,932,1
6,1074,1
6,1369,1
6,1416,1
6,1635,1
6,1636,1
7,693,1
7,772,1
7,1762,1
8,1092,1
8,1354,1
8,1381,1
8,1410,1
8,1788,1
9,10,1
9,22,1
9,124,1
9,131,1
9,139,1
9,216,1
9,259,1
9,378,1
9,636,1
9,739,1
9,746,1
9,757,1
9,798,1
9,902,1
9,932,1
9,1034,1
9,1038,1
9,1074,1
9,1075,1
9,1085,1
9,1190,1
9,1333,1
9,1423,1
9,1519,1
9,1591,1
9,1604,1
9,1651,1
9,1805,1
9,1821,1
10,9,1
10,43,1
10,122,1
10,128,1
10,140,1
10,222,1
10,225,1
10,241,1
10,373,1
10,509,1
10,553,1
10,636,1
10,681,1
10,740,1
10,800,1
10,857,1
10,867,1
10,914,1
10,938,1
10,967,1
10,996,1
10,1045,1
10,1046,1
10,1140,1
10,1155,1
10,1188,1
10,1218,1
10,1220,1
10,1238,1
10,1315,1
10,1416,1
10,1469,1
10,1476,1
10,1543,1
10,1557,1
10,1600,1
10,1643,1
10,1710,1
10,1805,1
10,1820,1
11,363,1
11,378,1
11,450,1
11,683,1
11,757,1
11,1037,1
11,1080,1
11,1497,1
11,1591,1
11,1604,1
11,1840,1
12,565,1
12,596,1
12,703,1
12,1144,1
12,1229,1
12,1403,1
12,1536,1
12,1587,1
13,117,1
13,137,1
13,223,1
13,249,1
13,389,1
13,423,1
13,718,1
13,1133,1
13,1144,1
13,1164,1
13,1252,1
13,1354,1
13,1405,1
13,1466,1
13,1500,1
13,1609,1
13,1629,1
13,1696,1
13,1795,1
13,1825,1
13,1835,1
14,137,1
14,235,1
14,317,1
14,408,1
14,509,1
14,653,1
14,677,1
14,683,1
14,693,1
14,734,1
14,756,1
14,1118,1
14,1148,1
14,1359,1
14,1415,1
14,1416,1
14,1472,1
14,1503,1
14,1540,1
14,1656,1
14,1710,1
14,1747,1
14,1802,1
14,1864,1
15,308,1
15,317,1
15,553,1
15,586,1
15,980,1
15,1499,1
15,1729,1
16,278,1
16,288,1
16,374,1
16,444,1
16,627,1
16,1079,1
16,1183,1
16,1286,1
16,1318,1
16,1324,1
17,1164,1
17,1706,1
18,195,1
18,938,1
18,1124,1
18,1186,1
18,1369,1
18,1416,1
18,1485,1
18,1635,1
18,1795,1
19,56,1
19,76,1
19,160,1
19,187,1
19,327,1
19,368,1
19,607,1
19,772,1
19,832,1
19,1139,1
19,1232,1
19,1394,1
19,1435,1
19,1685,1
19,1802,1
20,102,1
20,1144,1
21,131,1
21,144,1
21,217,1
21,307,1
21,339,1
21,363,1
21,390,1
21,392,1
21,406,1
21,470,1
21,627,1
21,683,1
21,746,1
21,772,1
21,829,1
21,932,1
21,942,1
21,947,1
21,1008,1
21,1080,1
21,1124,1
21,1188,1
21,1436,1
21,1553,1
21,1689,1
21,1776,1
22,9,1
22,222,1
22,289,1
22,363,1
22,432,1
22,590,1
22,677,1
22,792,1
22,942,1
22,1018,1
22,1114,1
22,1188,1
22,1325,1
22,1401,1
22,1486,1
22,1500,1
22,1820,1
22,1853,1
23,200,1
23,1002,1
23,1482,1
23,1788,1
23,1840,1
24,706,1
24,772,1
24,1762,1
24,1835,1
25,1825,1
26,870,1
27,128,1
27,131,1
27,215,1
27,363,1
27,455,1
27,469,1
27,592,1
27,700,1
27,1032,1
27,1034,1
27,1148,1
27,1166,1
27,1315,1
27,1359,1
27,1436,1
27,1455,1
27,1820,1
28,59,1
28,94,1
28,198,1
28,199,1
28,206,1
28,286,1
28,349,1
28,369,1
28,443,1
28,467,1
28,487,1
28,498,1
28,537,1
28,610,1
28,710,1
28,798,1
28,877,1
28,989,1
28,1062,1
28,1063,1
28,1070,1
28,1106,1
28,1142,1
28,1216,1
28,1368,1
28,1491,1
28,1658,1
28,1889,1
29,822,1
29,1144,1
29,1332,1
29,1343,1
29,1719,1
30,263,1
30,426,1
30,464,1
30,699,1
30,785,1
30,1122,1
30,1603,1
31,1354,1
32,893,1
33,490,1
33,697,1
33,872,1
34,56,1
34,117,1
34,136,1
34,1139,1
34,1498,1
34,1500,1
34,1696,1
35,358,1
36,74,1
36,1029,1
36,1394,1
36,1804,1
37,74,1
37,130,1
37,136,1
37,154,1
37,303,1
37,997,1
37,1260,1
37,1394,1
37,1663,1
37,1804,1
37,1852,1
38,80,1
38,102,1
39,509,1
39,1602,1
40,137,1
40,162,1
40,169,1
40,183,1
40,243,1
40,289,1
40,392,1
40,432,1
40,450,1
40,571,1
40,591,1
40,610,1
40,643,1
40,693,1
40,705,1
40,798,1
40,928,1
40,985,1
40,992,1
40,1066,1
40,1275,1
40,1327,1
40,1347,1
40,1359,1
40,1609,1
40,1807,1
41,298,1
41,453,1
41,893,1
41,1040,1
41,1052,1
41,1131,1
41,1250,1
42,43,1
42,46,1
42,225,1
42,254,1
42,373,1
42,386,1
42,481,1
42,485,1
42,501,1
42,506,1
42,550,1
42,967,1
42,988,1
42,1140,1
43,5,1
43,10,1
43,42,1
43,44,1
43,116,1
43,127,1
43,140,1
43,152,1
43,202,1
43,212,1
43,213,1
43,217,1
43,218,1
43,222,1
43,231,1
43,236,1
43,254,1
43,261,1
43,282,1
43,297,1
43,301,1
43,313,1
43,333,1
43,340,1
43,373,1
43,386,1
43,388,1
43,392,1
43,465,1
43,492,1
43,495,1
43,500,1
43,501,1
43,524,1
43,531,1
43,553,1
43,566,1
43,636,1
43,642,1
43,654,1
43,669,1
43,683,1
43,705,1
43,755,1
43,756,1
43,771,1
43,801,1
43,803,1
43,811,1
43,816,1
43,840,1
43,857,1
43,938,1
43,964,1
43,988,1
43,1037,1
43,1045,1
43,1140,1
43,1161,1
43,1185,1
43,1228,1
43,1235,1
43,1239,1
43,1277,1
43,1308,1
43,1313,1
43,1336,1
43,1416,1
43,1445,1
43,1469,1
43,1476,1
43,1510,1
43,1522,1
43,1570,1
43,1634,1
43,1644,1
43,1697,1
43,1710,1
43,1760,1
43,1776,1
43,1805,1
43,1818,1
43,1836,1
43,1851,1
44,43,1
44,55,1
44,127,1
44,231,1
44,278,1
44,363,1
44,373,1
44,408,1
44,439,1
44,706,1
44,772,1
44,902,1
44,1008,1
44,1045,1
44,1306,1
44,1313,1
44,1327,1
44,1329,1
44,1416,1
44,1447,1
44,1476,1
44,1522,1
44,1818,1
45,55,1
45,202,1
45,254,1
45,386,1
45,467,1
45,485,1
45,521,1
45,681,1
45,683,1
45,885,1
45,929,1
45,938,1
45,947,1
45,1137,1
45,1216,1
45,1336,1
45,1409,1
45,1416,1
45,1457,1
45,1487,1
45,1676,1
45,1679,1
45,1782,1
46,42,1
46,83,1
46,128,1
46,169,1
46,180,1
46,236,1
46,290,1
46,307,1
46,386,1
46,502,1
46,524,1
46,531,1
46,534,1
46,643,1
46,675,1
46,787,1
46,817,1
46,917,1
46,922,1
46,980,1
46,1008,1
46,1018,1
46,1139,1
46,1140,1
46,1207,1
46,1212,1
46,1228,1
46,1295,1
46,1296,1
46,1325,1
46,1365,1
46,1394,1
46,1411,1
46,1445,1
46,1472,1
46,1580,1
46,1627,1
46,1697,1
46,1766,1
46,1786,1
46,1867,1
47,120,1
47,185,1
47,278,1
47,664,1
47,738,1
47,772,1
47,1144,1
47,1359,1
48,56,1
48,102,1
48,122,1
48,151,1
48,190,1
48,196,1
48,318,1
48,368,1
48,459,1
48,467,1
48,498,1
48,512,1
48,629,1
48,661,1
48,682,1
48,701,1
48,798,1
48,803,1
48,892,1
48,935,1
48,1107,1
48,1144,1
48,1164,1
48,1169,1
48,1249,1
48,1379,1
48,1381,1
48,1402,1
48,1432,1
48,1508,1
48,1641,1
48,1769,1
48,1772,1
48,1781,1
48,1809,1
49,147,1
49,1569,1
50,115,1
50,217,1
50,289,1
50,363,1
50,378,1
50,656,1
50,798,1
50,1228,1
50,1334,1
50,1359,1
50,1729,1
51,311,1
51,509,1
51,809,1
51,1188,1
51,1504,1
51,1830,1
52,1251,1
53,237,1
53,447,1
53,620,1
53,976,1
53,1040,1
53,1344,1
53,1381,1
53,1443,1
54,96,1
54,124,1
54,127,1
54,140,1
54,187,1
54,190,1
54,212,1
54,219,1
54,230,1
54,329,1
54,359,1
54,496,1
54,740,1
54,784,1
54,867,1
54,870,1
54,875,1
54,904,1
54,965,1
54,1218,1
54,1223,1
54,1375,1
54,1380,1
54,1561,1
54,1604,1
54,1820,1
54,1851,1
55,44,1
55,45,1
55,56,1
55,115,1
55,128,1
55,169,1
55,191,1
55,217,1
55,241,1
55,289,1
55,316,1
55,359,1
55,372,1
55,373,1
55,388,1
55,397,1
55,408,1
55,481,1
55,492,1
55,498,1
55,500,1
55,502,1
55,533,1
55,553,1
55,576,1
55,588,1
55,590,1
55,600,1
55,632,1
55,655,1
55,681,1
55,739,1
55,757,1
55,814,1
55,817,1
55,840,1
55,867,1
55,885,1
55,932,1
55,938,1
55,964,1
55,967,1
55,988,1
55,1018,1
55,1031,1
55,1045,1
55,1050,1
55,1085,1
55,1137,1
55,1176,1
55,1181,1
55,1216,1
55,1220,1
55,1228,1
55,1235,1
55,1254,1
55,1308,1
55,1313,1
55,1317,1
55,1378,1
55,1409,1
55,1457,1
55,1469,1
55,1487,1
55,1504,1
55,1636,1
55,1671,1
55,1689,1
55,1760,1
55,1770,1
